Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
H.R. 8289,118th Congress (2023-2024),"Airport and Airway Extension Act of 2024, Part II","Graves, Sam [Rep.-R-MO-6]",Republican,2024-05-08,Transportation and Public Works
H.R. 7888,118th Congress (2023-2024),Reforming Intelligence and Securing America Act,"Lee, Laurel M. [Rep.-R-FL-15]",Republican,2024-04-09,Armed Forces and National Security
H.R. 7463,118th Congress (2023-2024),"Extension of Continuing Appropriations and Other Matters Act, 2024","Granger, Kay [Rep.-R-TX-12]",Republican,2024-02-28,Economics and Public Finance
H.R. 7454,118th Congress (2023-2024),Airport and Airway Extension Act of 2024,"Graves, Sam [Rep.-R-MO-6]",Republican,2024-02-26,Transportation and Public Works
H.R. 6503,118th Congress (2023-2024),"Airport and Airway Extension Act of 2023, Part II","Graves, Sam [Rep.-R-MO-6]",Republican,2023-11-29,Transportation and Public Works
H.R. 6363,118th Congress (2023-2024),"Further Continuing Appropriations and Other Extensions Act, 2024","Granger, Kay [Rep.-R-TX-12]",Republican,2023-11-13,Economics and Public Finance
H.R. 5860,118th Congress (2023-2024),"Continuing Appropriations Act, 2024 and Other Extensions Act","Granger, Kay [Rep.-R-TX-12]",Republican,2023-09-30,Economics and Public Finance
H.R. 5110,118th Congress (2023-2024),Protecting Hunting Heritage and Education Act,"Green, Mark E. [Rep.-R-TN-7]",Republican,2023-08-01,Education
H.R. 4389,118th Congress (2023-2024),Migratory Birds of the Americas Conservation Enhancements Act of 2023,"Salazar, Maria Elvira [Rep.-R-FL-27]",Republican,2023-06-27,Birds
H.R. 4366,118th Congress (2023-2024),"Consolidated Appropriations Act, 2024","Carter, John R. [Rep.-R-TX-31]",Republican,2023-06-27,Alliances
H.R. 4004,118th Congress (2023-2024),United States-Taiwan Initiative on 21st-Century Trade First Agreement Implementation Act,"Smith, Jason [Rep.-R-MO-8]",Republican,2023-06-12,Foreign Trade and International Finance
H.R. 3947,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 859 North State Road 21 in Melrose, Florida, as the ""Pamela Jane Rock Post Office Building"".","Bean, Aaron [Rep.-R-FL-4]",Republican,2023-06-09,"Government buildings, facilities, and property"
H.R. 3944,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 120 West Church Street in Mount Vernon, Georgia, as the ""Second Lieutenant Patrick Palmer Calhoun Post Office"".","Allen, Rick W. [Rep.-R-GA-12]",Republican,2023-06-09,"Government buildings, facilities, and property"
H.R. 3935,118th Congress (2023-2024),Securing Growth and Robust Leadership in American Aviation Act,"Graves, Sam [Rep.-R-MO-6]",Republican,2023-06-09,Computers and information technology
H.R. 3865,118th Congress (2023-2024),"To designate the facility of the United States Postal Service located at 101 South 8th Street in Lebanon, Pennsylvania, as the ""Lieutenant William D. Lebo Post Office Building"".","Meuser, Daniel [Rep.-R-PA-9]",Republican,2023-06-06,Government Operations and Politics
H.R. 3746,118th Congress (2023-2024),Fiscal Responsibility Act of 2023,"McHenry, Patrick T. [Rep.-R-NC-10]",Republican,2023-05-29,Economics and Public Finance
