txId,Name,Politician_Id,Party,Chamber,State,Asset_Type,Issuer,Ticker,Issuer_Country,Type,Date_Traded,Date_Published,Trade_Size,Trade_Price,Trade_Value
10000062432,Sheldon Whitehouse,W000802,Democrat,Senate,RI,Reit,Crown Castle International Corp,CCI,us,Buy,2024-05-10,2024-06-06,81.0,99.51,8000
10000062433,Sheldon Whitehouse,W000802,Democrat,Senate,RI,Stock,Diageo PLC,DEO,gb,Sell,2024-05-08,2024-06-06,231.0,140.91,32500
20003773595,Abigail Spanberger,S001209,Democrat,House,VA,Stock,L3Harris Technologies Inc,LHX,us,Sell,2024-06-04,2024-06-05,36.0,226.69,8000
20003773594,Peter Sessions,S000250,Republican,House,TX,Stock,ENVISTA HOLDINGS CORP,,us,Sell,2024-06-06,2024-06-06,,,8000
20003773584,Carol Miller,M001205,Republican,House,WV,Stock,AT&T Inc,T,us,Sell,2024-05-08,2024-06-05,468.0,17.11,8000
20003773585,Carol Miller,M001205,Republican,House,WV,Stock,AT&T Inc,T,us,Sell,2024-05-08,2024-06-05,468.0,17.11,8000
20003773586,Carol Miller,M001205,Republican,House,WV,Stock,Coca Cola Consolidated Inc,COKE,us,Sell,2024-05-08,2024-06-05,9.0,944.81,8000
20003773587,Carol Miller,M001205,Republican,House,WV,Stock,Coca Cola Consolidated Inc,COKE,us,Sell,2024-05-08,2024-06-05,9.0,944.81,8000
20003773588,Carol Miller,M001205,Republican,House,WV,Stock,Comcast Corp,CMCSA,us,Sell,2024-05-08,2024-06-05,,,8000
20003773589,Carol Miller,M001205,Republican,House,WV,Stock,Comcast Corp,CMCSA,us,Sell,2024-05-08,2024-06-05,,,32500
20003773590,Carol Miller,M001205,Republican,House,WV,Stock,McKesson Corp,MCK,us,Sell,2024-05-08,2024-06-05,60.0,543.61,32500
20003773591,Carol Miller,M001205,Republican,House,WV,Stock,McKesson Corp,MCK,us,Sell,2024-05-08,2024-06-05,60.0,543.61,32500
20003773592,Carol Miller,M001205,Republican,House,WV,Stock,YUM BRANDS  Inc,YUM,us,Sell,2024-05-08,2024-06-05,238.0,136.96,32500
20003773593,Carol Miller,M001205,Republican,House,WV,Stock,YUM BRANDS  Inc,YUM,us,Sell,2024-05-08,2024-06-05,59.0,136.96,8000
20003773583,Lloyd Doggett,D000399,Democrat,House,TX,Stock,The Procter & Gamble Co,PG,us,Buy,2024-05-15,2024-06-05,49.0,166.51,8000
10000062429,John Boozman,B001236,Republican,Senate,AR,Etf,Goldman Sachs Access Investment Grade Corporate Bond ETF,GIGB,us,Buy,2024-05-31,2024-06-05,178.0,45.1,8000
10000062430,John Boozman,B001236,Republican,Senate,AR,Etf,iShares S&P 500 Growth ETF,IVW,us,Sell,2024-05-31,2024-06-05,93.0,86.6,8000
10000062431,John Boozman,B001236,Republican,Senate,AR,Etf,iShares MSCI EAFE ETF,EFA,us,Sell,2024-05-31,2024-06-05,99.0,81.18,8000
20003773582,Doris Matsui,M001163,Democrat,House,CA,Ownership-interest,INTRINSIC EXCHANGE GROUP INC,,,Buy,2024-05-29,2024-06-04,,,1000000
20003773579,Douglas Lamborn,L000564,Republican,House,CO,Stock,NetApp Inc,NTAP,us,Sell,2024-05-31,2024-06-03,271.0,120.43,32500
20003773580,Douglas Lamborn,L000564,Republican,House,CO,Stock,NetApp Inc,NTAP,us,Sell,2024-05-31,2024-06-03,271.0,120.43,32500
20003773581,Douglas Lamborn,L000564,Republican,House,CO,Stock,NetApp Inc,NTAP,us,Sell,2024-05-31,2024-06-03,271.0,120.43,32500
10000062402,Thomas Carper,C000174,Democrat,Senate,DE,Stock,Target Corp,TGT,us,Buy,2024-05-22,2024-06-03,56.0,143.27,8000
10000062403,Thomas Carper,C000174,Democrat,Senate,DE,Etf,Vanguard FTSE Developed Markets ETF,VEA,us,Buy,2024-05-16,2024-06-03,158.0,50.92,8000
10000062404,Thomas Carper,C000174,Democrat,Senate,DE,Etf,Invesco Exchange Traded Fund Trust Invesco FTSE RAFI US 1000,PRF,us,Sell,2024-05-16,2024-06-03,209.0,38.47,8000
10000062405,Thomas Carper,C000174,Democrat,Senate,DE,Etf,Vanguard Dividend Appreciation ETF,VIG,us,Buy,2024-05-16,2024-06-03,44.0,183.63,8000
10000062406,Thomas Carper,C000174,Democrat,Senate,DE,Etf,PACER US CASH COWS 100 ETF,COWZ,us,Buy,2024-05-16,2024-06-03,144.0,55.91,8000
10000062407,Thomas Carper,C000174,Democrat,Senate,DE,Etf,PACER DV MK IN CS CW 100 ETF,ICOW,us,Buy,2024-05-16,2024-06-03,245.0,32.76,8000
10000062408,Thomas Carper,C000174,Democrat,Senate,DE,Etf,PROSHARES MSCI EAFE DIV GRWR,EFAD,us,Sell,2024-05-16,2024-06-03,206.0,38.9,8000
10000062409,Thomas Carper,C000174,Democrat,Senate,DE,Etf,Fidelity Covington Trust - Fidelity Dividend ETF for Rising Rates,FDRR,us,Sell,2024-05-16,2024-06-03,170.0,47.3068,8000
10000062410,Thomas Carper,C000174,Democrat,Senate,DE,Etf,Vanguard FTSE Developed Markets ETF,VEA,us,Buy,2024-05-16,2024-06-03,158.0,50.92,8000
10000062411,Thomas Carper,C000174,Democrat,Senate,DE,Etf,PROSHARES MSCI EAFE DIV GRWR,EFAD,us,Sell,2024-05-16,2024-06-03,206.0,38.9,8000
10000062412,Thomas Carper,C000174,Democrat,Senate,DE,Etf,PROSHARES RUSSELL2000 DIV GR,SMDV,us,Sell,2024-05-15,2024-06-03,123.0,65.24,8000
10000062413,Thomas Carper,C000174,Democrat,Senate,DE,Etf,PACER US SM CP CS CW 100 ETF,CALF,us,Buy,2024-05-15,2024-06-03,171.0,47.04,8000
10000062414,Thomas Carper,C000174,Democrat,Senate,DE,Etf,Pacer Funds Trust - Pacer Benchmark Data & Infrastructure Real estate SCTR ETF,SRVR,us,Buy,2024-05-14,2024-06-03,291.0,27.56,8000
10000062415,Thomas Carper,C000174,Democrat,Senate,DE,Etf,VanEck Vectors Agribusiness ETF,MOO,us,Sell,2024-05-14,2024-06-03,108.0,74.68,8000
10000062416,Thomas Carper,C000174,Democrat,Senate,DE,Stock,ATKORE INC,ATKR,us,Sell,2024-05-09,2024-06-03,51.0,161.14,8000
10000062417,Thomas Carper,C000174,Democrat,Senate,DE,Stock,TotalEnergies SE,TTE,fr,Sell,2024-05-09,2024-06-03,109.0,73.71,8000
10000062418,Thomas Carper,C000174,Democrat,Senate,DE,Stock,Starbucks Corp,SBUX,us,Sell,2024-05-09,2024-06-03,107.0,75.68,8000
10000062419,Thomas Carper,C000174,Democrat,Senate,DE,Stock,Emerson Electric Co,EMR,us,Buy,2024-05-09,2024-06-03,70.0,115.59,8000
10000062420,Thomas Carper,C000174,Democrat,Senate,DE,Stock,Occidental Petroleum Corp,OXY,us,Buy,2024-05-09,2024-06-03,125.0,64.24,8000
10000062421,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Sell,2024-05-02,2024-06-03,,,75000
10000062422,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Sell,2024-05-02,2024-06-03,,,32500
10000062423,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Sell,2024-05-02,2024-06-03,,,175000
10000062424,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Buy,2024-05-02,2024-06-03,,,175000
10000062425,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Sell,2024-05-02,2024-06-03,,,75000
10000062426,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Buy,2024-05-01,2024-06-03,,,75000
10000062427,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Buy,2024-05-01,2024-06-03,,,32500
10000062428,Thomas Carper,C000174,Democrat,Senate,DE,Municipal-security,US TREASURY BILLS,,,Buy,2024-05-01,2024-06-03,,,75000
20003773578,Rudolph Yakym,Y000067,Republican,House,IN,Municipal-security,US TREASURY BILLS,,,Buy,2024-05-21,2024-05-31,,,32500
20003773577,Clifford Franklin,F000472,Republican,House,FL,Stock,Brp Group Inc,BWIN,us,Sell,2024-05-08,2024-06-02,23878.0,31.41,750000
20003773575,Thomas Kean Jr,K000398,Republican,House,NJ,Stock,Illumina Inc,ILMN,us,Buy,2024-04-19,2024-05-30,69.0,117.43,8000
20003773576,Thomas Kean Jr,K000398,Republican,House,NJ,Stock,Nike Inc,NKE,us,Sell,2024-04-19,2024-05-30,85.0,94.53,8000
20003773574,Suzanne Lee,L000590,Democrat,House,NV,Stock,RHEINMETALL AG,RNMBY,de,Buy,2024-05-10,2024-05-24,70.0,115.347,8000
20003773573,Laurel Lee,L000597,Republican,House,FL,Corporate-bond,TUHURA BIOSCIENCES INC,,,Buy,2024-05-06,2024-05-25,,,175000
20003773567,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,2024-05-23,,,1000000
20003773568,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,2024-05-23,,,1000000
20003773569,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,2024-05-23,,,1000000
20003773570,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,2024-05-23,,,1000000
20003773571,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,2024-05-23,,,1000000
20003773572,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,2024-05-23,,,1000000
20003773566,Stephen Lynch,L000562,Democrat,House,MA,Stock,NVIDIA Corporation,NVDA,us,Buy,2024-05-22,2024-05-23,9.0,949.5,8000
20003773564,Jeffrey Duncan,D000615,Republican,House,SC,Stock,Colgate-Palmolive Co,CL,us,Sell,2023-08-25,2024-05-23,109.0,73.83,8000
20003773565,Jeffrey Duncan,D000615,Republican,House,SC,Stock,JD.com Inc,JD,cn,Sell,2023-08-25,2024-05-23,244.0,32.96,8000
10000062398,Gary Peters,P000595,Democrat,Senate,MI,Stock,SOLVENTUM CORP,SOLV,us,Sell,2024-05-14,2024-05-23,,,8000
10000062399,Gary Peters,P000595,Democrat,Senate,MI,Stock,Carnival Corporation & PLC,CCL,us,Sell,2024-05-14,2024-05-23,552.0,14.52,8000
10000062400,Gary Peters,P000595,Democrat,Senate,MI,Stock,Schlumberger Ltd,SLB,us,Sell,2024-05-14,2024-05-23,165.0,48.62,8000
10000062401,Gary Peters,P000595,Democrat,Senate,MI,Stock,International Flavors & Fragrances Inc,IFF,us,Sell,2024-05-14,2024-05-23,337.0,96.63,32500
20003773561,Kathy Manning,M001135,Democrat,House,NC,Hedge-pvt-eq-funds-non-eif,SEVEN BRIDGES LONG SHORT EQUITY FUND LTD,,,Sell,2024-04-22,2024-05-22,,,175000
20003773562,Kathy Manning,M001135,Democrat,House,NC,Hedge-pvt-eq-funds-non-eif,SEVEN BRIDGES LONG SHORT EQUITY FUND LTD,,,Sell,2024-05-03,2024-05-22,,,750000
20003773563,Kathy Manning,M001135,Democrat,House,NC,Hedge-pvt-eq-funds-non-eif,SEVEN BRIDGES MULTI STRATEGY FUND LP,,,Buy,2024-04-22,2024-05-22,,,175000
20003773551,William Keating,K000375,Democrat,House,MA,Stock,Accenture PLC,ACN,ie,Sell,2024-05-17,2024-05-22,27.0,303.59,8000
20003773552,William Keating,K000375,Democrat,House,MA,Stock,Airbnb Inc,ABNB,us,Sell,2024-05-17,2024-05-22,55.0,145.66,8000
20003773553,William Keating,K000375,Democrat,House,MA,Stock,Alphabet Inc,GOOGL,us,Sell,2024-05-17,2024-05-22,46.0,176.06,8000
20003773554,William Keating,K000375,Democrat,House,MA,Stock,Amazon.com Inc,AMZN,us,Buy,2024-05-17,2024-05-22,177.0,184.7,32500
20003773555,William Keating,K000375,Democrat,House,MA,Stock,AutoZone Inc,AZO,us,Sell,2024-05-17,2024-05-22,4.0,2917.5,8000
20003773556,William Keating,K000375,Democrat,House,MA,Stock,CVS Health Corp,CVS,us,Sell,2024-05-17,2024-05-22,140.0,57.68,8000
20003773557,William Keating,K000375,Democrat,House,MA,Stock,Jacobs Engineering Group Inc,J,us,Sell,2024-05-17,2024-05-22,59.0,136.44,8000
20003773558,William Keating,K000375,Democrat,House,MA,Stock,Lowes Cos Inc,LOW,us,Sell,2024-05-17,2024-05-22,35.0,231.11,8000
20003773559,William Keating,K000375,Democrat,House,MA,Corporate-bond,McDonalds Corp,MCD,us,Sell,2024-05-17,2024-05-22,,,32500
20003773560,William Keating,K000375,Democrat,House,MA,Stock,Microsoft Corp,MSFT,us,Sell,2024-05-17,2024-05-22,20.0,420.21,8000
20003773549,Neal Dunn,D000628,Republican,House,FL,Preferred-shares,JPMorgan Chase & Co,JPM,us,Sell,2024-04-24,2024-05-22,366.0,21.88,8000
20003773550,Neal Dunn,D000628,Republican,House,FL,Preferred-shares,JPMorgan Chase & Co,JPM,us,Sell,2024-04-24,2024-05-22,321.0,24.97,8000
20003773548,Peter Sessions,S000250,Republican,House,TX,Stock,NVIDIA Corporation,NVDA,us,Sell,2024-05-21,2024-05-22,79.0,953.86,75000
10000062395,Richard Blumenthal,B001277,Democrat,Senate,CT,Other-investment-fund,RADCLIFF PS I LLC,,,Buy,2024-04-24,2024-05-21,,,375000
10000062396,Richard Blumenthal,B001277,Democrat,Senate,CT,Municipal-security,BRAZIL GOVERNMENT BONDS,,,Sell,2024-04-17,2024-05-21,,,175000
